"matchup_key","ev_tier","confidence","bet_recommendation","edge","vegas_line","model_line","sportsbook","home_team_abbr","away_team_abbr","over_under","game_date","weather_impact.x","total_weather_adj","weather_impact.y","home_days_rest.x","away_days_rest.x","total_rest_adj","home_days_rest.y","away_days_rest.y","notes"
"ARI at SEA","🔥 ELITE","HIGH","BET SEA -6.5 (-120)",16.187659781894,-6.5,9.68765978189399,"DraftKings","SEA","ARI",45.5,"2025-11-09T21:05:00Z",0,0,0,20,6,1.5,20,6,"⚠️ Rest advantage"
"CLE at NYJ","🔥 ELITE","VERY HIGH","BET NYJ +1.5 (-105)",15.528844076856,1.5,17.028844076856,"DraftKings","NYJ","CLE",37.5,"2025-11-09T18:00:00Z",0,0,0,21,14,1.5,21,14,"⚠️ Rest advantage"
"NYG at CHI","🔥 ELITE","HIGH","BET CHI -4.5 (-110)",13.0595508654038,-4.5,8.55955086540382,"DraftKings","CHI","NYG",46.5,"2025-11-09T18:00:00Z",0,0,0,21,14,1.5,21,14,"⚠️ Rest advantage"
"NO at CAR","🔥 ELITE","MEDIUM","BET CAR -5.5 (-108)",11.998573359821,-5.5,6.49857335982096,"DraftKings","CAR","NO",38.5,"2025-11-09T18:00:00Z",0,0,0,14,7,1.5,14,7,"⚠️ Rest advantage"
"BUF at MIA","🔥 ELITE","VERY LOW","BET BUF -9.5 (-112)",-11.2214712985196,9.5,-1.72147129851963,"DraftKings","MIA","BUF",50.5,"2025-11-09T18:00:00Z",0,0,0,10,14,-1.5,10,14,"⚠️ Rest advantage"
"PIT at LAC","🔥 ELITE","LOW","BET LAC -3.0 (-105)",6.62936478070861,-3,3.62936478070861,"DraftKings","LAC","PIT",45.5,"2025-11-10T01:20:00Z",0,0,0,17,24,-1.5,17,24,"⚠️ Rest advantage"
"JAX at HOU","🔥 ELITE","MEDIUM","BET JAX -1.5 (+100)",-6.38700662322195,1.5,-4.88700662322195,"DraftKings","HOU","JAX",37.5,"2025-11-09T18:00:00Z",0,0,0,7,7,0,7,7,""
"NE at TB","⭐ STRONG","HIGH","BET NE +2.5 (-110)",-4.68640554521466,-2.5,-7.18640554521466,"DraftKings","TB","NE",48.5,"2025-11-09T18:00:00Z",0,0,0,28,21,1.5,28,21,"⚠️ Rest advantage"
"ATL at IND","⭐ STRONG","VERY LOW","BET IND -6.5 (-108)",4.52347324049508,-6.5,-1.97652675950492,"DraftKings","IND","ATL",48.5,"2025-11-09T14:30:00Z",0,0,0,14,7,1.5,14,7,"⚠️ Rest advantage"
"PHI at GB","⭐ STRONG","MEDIUM","BET PHI +1.5 (-112)",-3.98904317017425,-1.5,-5.48904317017425,"DraftKings","GB","PHI",45.5,"2025-11-11T01:15:00Z",0,0,0,8,22,-1.5,8,22,"⚠️ Rest advantage"
"BAL at MIN","✓ GOOD","VERY LOW","BET BAL -3.5 (-115)",-2.96880391221143,3.5,0.531196087788566,"DraftKings","MIN","BAL",48.5,"2025-11-09T18:00:00Z",0,0,0,21,10,1.5,21,10,"⚠️ Rest advantage"
