"matchup_key","ev_tier","edge","vegas_line","model_line","bet_recommendation","confidence","sportsbook","game_date"
"BAL @ CLE","🔥 ELITE",-9.68371441242295,7.5,-2.18371441242295,"BET AWAY BAL -7.5","Very Low","DraftKings","2025-11-16T21:25:00Z"
"NYJ @ NE","🔥 ELITE",8.85935416075421,-12.5,-3.64064583924579,"BET HOME NE -12.5","Low","DraftKings","2025-11-14T01:15:00Z"
"SF @ ARI","🔥 ELITE",-7.19913909073061,3,-4.19913909073061,"BET AWAY SF -3","Low","DraftKings","2025-11-16T21:05:00Z"
"TB @ BUF","🔥 ELITE",6.34233861567407,-6,0.342338615674071,"BET HOME BUF -6","Very Low","DraftKings","2025-11-16T18:00:00Z"
"HOU @ TEN","🔥 ELITE",-6.27063435988931,6.5,0.229365640110687,"BET AWAY HOU -6.5","Very Low","DraftKings","2025-11-16T18:00:00Z"
"GB @ NYG","🔥 ELITE",-5.4575036633856,7,1.5424963366144,"BET AWAY GB -7","Very Low","DraftKings","2025-11-16T18:00:00Z"
"KC @ DEN","⭐ STRONG",-3.19064661154275,3.5,0.309353388457252,"BET AWAY KC -3.5","Very Low","DraftKings","2025-11-16T21:25:00Z"
"CIN @ PIT","⭐ STRONG",2.9098908461669,-5.5,-2.5901091538331,"BET HOME PIT -5.5","Very Low","DraftKings","2025-11-16T18:00:00Z"
"SEA @ LA","⭐ STRONG",2.76314382991815,-3,-0.236856170081855,"BET HOME LA -3","Very Low","DraftKings","2025-11-16T21:05:00Z"
"CAR @ ATL","✓ GOOD",1.95791134745715,-3.5,-1.54208865254285,"BET HOME ATL -3.5","Very Low","DraftKings","2025-11-16T18:00:00Z"
"CHI @ MIN","✓ GOOD",1.72208912722095,-2.5,-0.777910872779054,"BET HOME MIN -2.5","Very Low","DraftKings","2025-11-16T18:00:00Z"
"DAL @ LV","✓ GOOD",-1.71182057781004,3.5,1.78817942218996,"BET AWAY DAL -3.5","Very Low","DraftKings","2025-11-18T01:15:00Z"
"LAC @ JAX","✓ GOOD",-1.50066494515834,3,1.49933505484166,"BET AWAY LAC -3","Very Low","DraftKings","2025-11-16T18:00:00Z"
"DET @ PHI","⛔ PASS",1.44381424075782,-2.5,-1.05618575924218,"⛔ PASS","Very Low","DraftKings","2025-11-17T01:20:00Z"
"WAS @ MIA","⛔ PASS",0.67986465503243,-2.5,-1.82013534496757,"⛔ PASS","Very Low","DraftKings","2025-11-16T14:30:00Z"
