"away_team","home_team","away_team_abbr","home_team_abbr","game_date","sportsbook"
"Buffalo Bills","Houston Texans","BUF","HOU","2025-11-21T01:15:00Z","DraftKings"
"New York Jets","Baltimore Ravens","NYJ","BAL","2025-11-23T18:00:00Z","DraftKings"
"Pittsburgh Steelers","Chicago Bears","PIT","CHI","2025-11-23T18:00:00Z","DraftKings"
"New England Patriots","Cincinnati Bengals","NE","CIN","2025-11-23T18:00:00Z","DraftKings"
"New York Giants","Detroit Lions","NYG","DET","2025-11-23T18:00:00Z","DraftKings"
"Minnesota Vikings","Green Bay Packers","MIN","GB","2025-11-23T18:00:00Z","DraftKings"
"Indianapolis Colts","Kansas City Chiefs","IND","KC","2025-11-23T18:00:00Z","DraftKings"
"Seattle Seahawks","Tennessee Titans","SEA","TEN","2025-11-23T18:00:00Z","DraftKings"
"Jacksonville Jaguars","Arizona Cardinals","JAX","ARI","2025-11-23T21:05:00Z","DraftKings"
"Cleveland Browns","Las Vegas Raiders","CLE","LV","2025-11-23T21:05:00Z","DraftKings"
"Atlanta Falcons","New Orleans Saints","ATL","NO","2025-11-23T21:25:00Z","DraftKings"
"Philadelphia Eagles","Dallas Cowboys","PHI","DAL","2025-11-23T21:25:00Z","DraftKings"
"Tampa Bay Buccaneers","Los Angeles Rams","TB","LA","2025-11-24T01:20:00Z","DraftKings"
"Carolina Panthers","San Francisco 49ers","CAR","SF","2025-11-25T01:15:00Z","DraftKings"
