"week","game","home_team","away_team","home_base_epa","away_base_epa","home_adjusted_epa","away_adjusted_epa","net_home_advantage","projected_margin","projected_total","estimated_pace","weather_impact","is_dome","home_days_rest","away_days_rest","is_thursday","total_weather_adj","total_injury_adj","total_rest_adj","third_down_rate_home","red_zone_td_rate_home","plays_per_game_home","third_down_rate_away","red_zone_td_rate_away","plays_per_game_away","def_third_down_rate_home_def","def_red_zone_td_rate_home_def","def_third_down_rate_away_def","def_red_zone_td_rate_away_def"
6,"PHI at NYG","NYG","PHI",0,0,0,0,0,2.5,45,59,0,FALSE,11,11,TRUE,0,0,0,0.692307692307692,0.307692307692308,62,0.111111111111111,0.166666666666667,56,0.888888888888889,0.166666666666667,0.307692307692308,0.307692307692308
6,"DEN at NYJ","NYJ","DEN",0,0,0,0,0,2.5,45,56,0,FALSE,7,7,FALSE,0,0,0,0.133333333333333,0,57,0.333333333333333,0.2,55,0.666666666666667,0.2,0.866666666666667,0
6,"LA at BAL","BAL","LA",0,0,0,0,0,1,45,61,0,FALSE,7,21,FALSE,0,0,-1.5,0.411764705882353,0,73,0.4,0.181818181818182,49,0.6,0.181818181818182,0.588235294117647,0
6,"DAL at CAR","CAR","DAL",0,0,0,0,0,2.5,45,56.5,0,FALSE,7,7,FALSE,0,0,0,0.375,0.25,61,0.416666666666667,0.142857142857143,52,0.583333333333333,0.142857142857143,0.625,0.25
6,"ARI at IND","IND","ARI",0,0,0,0,0,1,45,62.5,0,FALSE,7,21,FALSE,0,0,-1.5,0.5,0.307692307692308,56,0.642857142857143,0.166666666666667,69,0.357142857142857,0.166666666666667,0.5,0.307692307692308
6,"SEA at JAX","JAX","SEA",0,0,0,0,0,1,45,58.5,0,FALSE,6,17,FALSE,0,0,-1.5,0.2,0,67,0.0909090909090909,0.1,50,0.909090909090909,0.1,0.8,0
6,"LAC at MIA","MIA","LAC",0,0,0,0,0,2.5,45,59,0,FALSE,13,14,FALSE,0,0,0,0.4,0.333333333333333,54,0.4,0.105263157894737,64,0.6,0.105263157894737,0.6,0.333333333333333
6,"NE at NO","NO","NE",0,0,0,0,0,2.5,45,53,0,FALSE,7,7,FALSE,0,0,0,0.333333333333333,0.125,51,0.5,0,55,0.5,0,0.666666666666667,0.125
6,"CLE at PIT","PIT","CLE",0,0,0,0,0,2.5,45,64,0,FALSE,14,14,FALSE,0,0,0,0.416666666666667,0.5,55,0.375,0,73,0.625,0,0.583333333333333,0.5
6,"TEN at LV","LV","TEN",0,0,0,0,0,4,45,55.5,0,FALSE,14,7,FALSE,0,0,1.5,0.461538461538462,0.153846153846154,53,0.230769230769231,0.142857142857143,58,0.769230769230769,0.142857142857143,0.538461538461538,0.153846153846154
6,"CIN at GB","GB","CIN",0,0,0,0,0,4,45,60,0,FALSE,31,13,FALSE,0,0,1.5,0.454545454545455,0.5,59,0.428571428571429,0.2,61,0.571428571428571,0.2,0.545454545454545,0.5
6,"SF at TB","TB","SF",0,0,0,0,0,4,45,56.5,0,FALSE,14,10,FALSE,0,0,1.5,0.375,0.333333333333333,49,0.4375,0.142857142857143,64,0.5625,0.142857142857143,0.625,0.333333333333333
6,"DET at KC","KC","DET",0,0,0,0,0,4,45,55.5,0,FALSE,14,7,FALSE,0,0,1.5,0.444444444444444,0.25,58,0.454545454545455,0.142857142857143,53,0.545454545454545,0.142857142857143,0.555555555555556,0.25
6,"BUF at ATL","ATL","BUF",0,0,0,0,0,1,45,59.5,0,TRUE,15,29,FALSE,0,0,-1.5,0.416666666666667,0.111111111111111,65,0.222222222222222,0.5,54,0.777777777777778,0.5,0.583333333333333,0.111111111111111
6,"CHI at WAS","WAS","CHI",0,0,0,0,0,4,45,58.5,0,FALSE,22,15,FALSE,0,0,1.5,0.375,0.5,58,0.3,0.142857142857143,59,0.7,0.142857142857143,0.625,0.5
