"week","game","home_team","away_team","home_base_epa","away_base_epa","home_adjusted_epa","away_adjusted_epa","net_home_advantage","projected_margin","projected_total","estimated_pace","weather_impact","is_dome","home_days_rest","away_days_rest","is_thursday","total_weather_adj","total_injury_adj","total_rest_adj"
6,"PHI at NYG","NYG","PHI",0,0,0,0,0,2.5,45,59,0,FALSE,11,11,TRUE,0,0,0
6,"DEN at NYJ","NYJ","DEN",0,0,0,0,0,2.5,45,56,0,FALSE,7,7,FALSE,0,0,0
6,"LA at BAL","BAL","LA",0,0,0,0,0,1,45,61,0,FALSE,7,21,FALSE,0,0,-1.5
6,"DAL at CAR","CAR","DAL",0,0,0,0,0,2.5,45,56.5,0,FALSE,7,7,FALSE,0,0,0
6,"ARI at IND","IND","ARI",0,0,0,0,0,1,45,62.5,0,FALSE,7,21,FALSE,0,0,-1.5
6,"SEA at JAX","JAX","SEA",0,0,0,0,0,1,45,58.5,0,FALSE,6,17,FALSE,0,0,-1.5
6,"LAC at MIA","MIA","LAC",0,0,0,0,0,2.5,45,59,0,FALSE,13,14,FALSE,0,0,0
6,"NE at NO","NO","NE",0,0,0,0,0,2.5,45,53,0,FALSE,7,7,FALSE,0,0,0
6,"CLE at PIT","PIT","CLE",0,0,0,0,0,2.5,45,64,0,FALSE,14,14,FALSE,0,0,0
6,"TEN at LV","LV","TEN",0,0,0,0,0,4,45,55.5,0,FALSE,14,7,FALSE,0,0,1.5
6,"CIN at GB","GB","CIN",0,0,0,0,0,4,45,60,0,FALSE,31,13,FALSE,0,0,1.5
6,"SF at TB","TB","SF",0,0,0,0,0,4,45,56.5,0,FALSE,14,10,FALSE,0,0,1.5
6,"DET at KC","KC","DET",0,0,0,0,0,4,45,55.5,0,FALSE,14,7,FALSE,0,0,1.5
6,"BUF at ATL","ATL","BUF",0,0,0,0,0,1,45,59.5,0,TRUE,15,29,FALSE,0,0,-1.5
6,"CHI at WAS","WAS","CHI",0,0,0,0,0,4,45,58.5,0,FALSE,22,15,FALSE,0,0,1.5
