matchup_key,away_team,home_team,model_line,confidence,weather_impact,home_days_rest,away_days_rest,is_thursday
PIT @ CIN,PIT,CIN,17.17328152,Very High,0,4,4,FALSE
TB @ DET,TB,DET,-13.7631655,High,0,8,8,FALSE
LV @ KC,LV,KC,-4.307080436,Low,0,7,7,FALSE
NO @ CHI,NO,CHI,-10.49257213,High,0,6,7,FALSE
LA @ JAX,LA,JAX,9.380005401,Medium,0,7,7,FALSE
NE @ TEN,NE,TEN,5.325421763,Low,1,7,7,FALSE
CAR @ NYJ,CAR,NYJ,-5.428410549,Low,0,7,7,FALSE
GB @ ARI,GB,ARI,-1.074419633,Very Low,0,7,7,FALSE
NYG @ DEN,NYG,DEN,2.145010971,Very Low,0,7,10,FALSE
MIA @ CLE,MIA,CLE,5.364282829,Low,1,7,7,FALSE
WAS @ DAL,WAS,DAL,3.84298619,Low,0,7,6,FALSE
ATL @ SF,ATL,SF,-0.136717132,Very Low,0,7,6,FALSE
IND @ LAC,IND,LAC,3.176710019,Low,0,7,7,FALSE
PHI @ MIN,PHI,MIN,NA,Very Low,0,14,10,FALSE
HOU @ SEA,HOU,SEA,NA,Very Low,0,8,15,FALSE
