matchup_key,away_team,home_team,gameday,predicted_margin,confidence_tier,away_off_roll3_epa,home_off_roll3_epa,away_def_roll3_def_epa,home_def_roll3_def_epa,weather_adj,rest_differential,travel_adj
PIT @ CIN,PIT,CIN,10/16/2025,17.17328152,Very High,0.026714697,-0.093824231,-0.097293307,0.183683965,0,0,0
TB @ DET,TB,DET,10/20/2025,-13.7631655,High,0.098801276,0.041963116,0.076529635,-0.127711369,0,0,-0.5
LV @ KC,LV,KC,10/19/2025,-4.307080436,Low,-0.235075673,0.219175763,-0.036108616,0.036308324,0,0,-0.5
NO @ CHI,NO,CHI,10/19/2025,-10.49257213,High,-0.004530191,0.111742997,-0.03823409,-0.071226284,0,-1,-0.5
LA @ JAX,LA,JAX,10/19/2025,9.380005401,Medium,-0.024823873,0.005403983,-0.087412799,0.03260471,0,0,0
NE @ TEN,NE,TEN,10/19/2025,5.325421763,Low,0.164493786,-0.283694262,-0.087745829,-0.050809093,-0.5,0,-0.5
CAR @ NYJ,CAR,NYJ,10/19/2025,-5.428410549,Low,0.040310046,-0.011571409,0.228966004,0.107082717,0,0,0
GB @ ARI,GB,ARI,10/19/2025,-1.074419633,Very Low,0.137272328,0.00156623,0.091971709,0.049289884,0,0,-0.5
NYG @ DEN,NYG,DEN,10/19/2025,2.145010971,Very Low,-0.071195948,0.080337054,-0.077760253,-0.158242094,0,-3,-1
MIA @ CLE,MIA,CLE,10/19/2025,5.364282829,Low,0.091627409,-0.207044783,0.160826863,0.027714783,-0.5,0,-0.5
WAS @ DAL,WAS,DAL,10/19/2025,3.84298619,Low,0.078472582,0.249207058,0.086467637,0.187381078,0,1,-0.5
ATL @ SF,ATL,SF,10/19/2025,-0.136717132,Very Low,-0.019292403,0.017446915,0.045794778,0.045001624,0,1,-1
IND @ LAC,IND,LAC,10/19/2025,3.176710019,Low,0.119424935,-0.040124336,-0.047407614,-0.00248072,0,0,-1
PHI @ MIN,PHI,MIN,10/19/2025,NA,Very Low,-0.063185766,NA,0.027383179,NA,0,4,-0.5
HOU @ SEA,HOU,SEA,10/20/2025,NA,Very Low,NA,0.110495979,NA,0.096377147,0,-7,-1
