"matchup_key","away_team","home_team","model_line","confidence","weather_impact","home_days_rest","away_days_rest","is_thursday"
"TEN @ IND","TEN","IND",-10.4864251490079,"High",0,7,7,FALSE
"WAS @ KC","WAS","KC",-10.1763283605743,"High",0,8,8,FALSE
"CLE @ NE","CLE","NE",-10.4249484028314,"High",0,7,7,FALSE
"SF @ HOU","SF","HOU",-13.9154150135257,"High",0,6,7,FALSE
"MIA @ ATL","MIA","ATL",-4.94591599330201,"Low",0,7,7,FALSE
"NYJ @ CIN","NYJ","CIN",-6.03547815042172,"Medium",0,10,7,FALSE
"MIN @ LAC","MIN","LAC",-4.32846466499026,"Low",0,4,4,FALSE
"NYG @ PHI","NYG","PHI",-0.281593431551194,"Very Low",0,7,7,FALSE
"DAL @ DEN","DAL","DEN",-2.81944064934724,"Very Low",0,7,7,FALSE
"GB @ PIT","GB","PIT",-5.40105181434372,"Low",0,10,7,FALSE
"TB @ NO","TB","NO",-3.70604223631091,"Low",0,7,6,FALSE
"CHI @ BAL","CHI","BAL",NA,"Very Low",0,14,7,FALSE
"BUF @ CAR","BUF","CAR",NA,"Very Low",0,7,13,FALSE
