"game","home_team","away_team","home_base_epa","away_base_epa","home_adjusted_epa","away_adjusted_epa","net_home_advantage","projected_margin","estimated_pace","projected_total","weather_impact","is_dome","home_days_rest","away_days_rest","is_thursday","total_weather_adj","total_injury_adj","total_rest_adj","third_down_rate_home","red_zone_td_rate_home","plays_per_game_home","third_down_rate_away","red_zone_td_rate_away","plays_per_game_away","def_third_down_rate_home_def","def_red_zone_td_rate_home_def","def_third_down_rate_away_def","def_red_zone_td_rate_away_def"
"MIN at LAC","LAC","MIN",-0.254284760733526,-0.483812134868742,-0.274284760733526,-0.483812134868742,0.209527374135216,5.64291061202824,69,47.0952737413522,0,FALSE,4,18,TRUE,0,0,-0.02,0.5,0.176470588235294,73,0.466666666666667,0.05,65,0.5,0.333333333333333,0.7,0
"MIA at ATL","ATL","MIA",0.0146096273812259,-0.601467883803094,0.0146096273812259,-0.601467883803094,0.61607751118432,11.7411626677648,57.5,51.1607751118432,0,FALSE,13,7,FALSE,0,0,0,0.454545454545455,0.25,58,0.0769230769230769,0,57,0.357142857142857,0.333333333333333,0.636363636363636,0.222222222222222
"CHI at BAL","BAL","CHI",0.00600029850852674,0.0972461867500886,0.00600029850852674,0.0972461867500886,-0.0912458882415618,1.13131167637657,68.5,44.0875411175844,0,FALSE,14,13,FALSE,0,0,0,NA,NA,NA,0.25,0.133333333333333,64,NA,NA,0.666666666666667,0.333333333333333
"BUF at CAR","CAR","BUF",-0.127617368693629,0.160439749080688,-0.127617368693629,0.160439749080688,-0.288057117774317,-1.82085676661475,61,42.1194288222568,0,FALSE,14,13,FALSE,0,0,0,0.294117647058824,0.125,68,NA,NA,NA,0.571428571428571,0,NA,NA
"NYJ at CIN","CIN","NYJ",0.390266190855597,-0.64421111742718,0.390266190855597,-0.64421111742718,1.03447730828278,18.0171596242417,63.5,55.3447730828278,0,FALSE,10,27,FALSE,0,0,0,0.538461538461538,0.133333333333333,69,0.428571428571429,0,58,0.3,0.272727272727273,0.705882352941177,0.125
"SF at HOU","HOU","SF",-0.198986300499347,0.294290606699562,-0.198986300499347,0.294290606699562,-0.493276907198909,-4.89915360798364,65,40.0672309280109,0,FALSE,28,14,FALSE,0,0,0,0.142857142857143,0.0833333333333333,68,0.642857142857143,0.333333333333333,62,0.833333333333333,0.25,0.545454545454545,0.25
"CLE at NE","NE","CLE",0.808250085817854,0.170107804584701,0.808250085817854,0.170107804584701,0.638142281233153,12.0721342184973,56,51.3814228123315,0,FALSE,28,14,FALSE,0,0,0,0.416666666666667,0.181818181818182,61,0.363636363636364,0.222222222222222,51,0.7,NA,0.923076923076923,0
"NYG at PHI","PHI","NYG",0.229268211920609,0.0937263083105132,0.229268211920609,0.0937263083105132,0.135541903610096,4.53312855415144,57.5,46.355419036101,0,FALSE,21,7,FALSE,0,0,0,0.3,0,47,0.357142857142857,0.25,68,0.533333333333333,0.05,0.692307692307692,0.210526315789474
"TB at NO","NO","TB",-0.222481553179592,-0.483538729623851,-0.222481553179592,-0.483538729623851,0.261057176444258,6.41585764666388,58,47.6105717644426,0,FALSE,14,6,FALSE,0,0,0,0.333333333333333,0.333333333333333,50,0.25,0,66,0.75,0.133333333333333,0.75,0.5
"DAL at DEN","DEN","DAL",0.320553077884026,0.0983052098068153,0.320553077884026,0.0983052098068153,0.222247868077211,5.83371802115817,67,47.2224786807721,0,FALSE,7,14,FALSE,0,0,0,0.307692307692308,0.210526315789474,77,0.454545454545455,0.3,57,0.642857142857143,0.25,0.5625,0.333333333333333
"TEN at IND","IND","TEN",0.184856371586408,-0.342695141453572,0.184856371586408,-0.342695141453572,0.52755151303998,10.4132726955997,53,50.2755151303998,0,FALSE,14,14,FALSE,0,0,0,0.5,0.333333333333333,55,0.3,NA,51,0.5,0.176470588235294,0.583333333333333,0.181818181818182
"GB at PIT","PIT","GB",0.460909673538259,-0.258450817795121,0.460909673538259,-0.258450817795121,0.71936049133338,13.2904073700007,52,52.1936049133338,0,FALSE,14,7,FALSE,0,0,0,0.7,0.272727272727273,54,0.3,0.3,50,0.461538461538462,0.133333333333333,0.461538461538462,0.181818181818182
"WAS at KC","KC","WAS",0.0763671362454731,0.43167491706397,0.0763671362454731,0.43167491706397,-0.355307780818497,-2.82961671227745,68,41.446922191815,0,FALSE,8,8,FALSE,0,0,0,0.642857142857143,0.176470588235294,73,0.4375,0.333333333333333,63,1,NA,0.545454545454545,0.3
