"matchup_key","away_team","home_team","gameday","predicted_margin","confidence_tier","away_off_roll3_epa","home_off_roll3_epa","away_def_roll3_def_epa","home_def_roll3_def_epa","weather_adj","rest_differential","travel_adj"
"TEN @ IND","TEN","IND","2025-10-26",-10.4864251490079,"High",-0.184148473636326,0.256187744085929,-0.0132891187366677,-0.0429848204245961,0,0,0
"WAS @ KC","WAS","KC","2025-10-27",-10.1763283605743,"High",-0.0489444043367583,0.215353395990899,0.0740752772578501,-0.114325161886407,0,0,-0.5
"CLE @ NE","CLE","NE","2025-10-26",-10.4249484028314,"High",-0.093483718868091,0.113137516678846,-0.107863490520642,-0.0566924282213877,0,0,0
"SF @ HOU","SF","HOU","2025-10-26",-13.9154150135257,"High",0.0631600330979515,0.0670950328049507,0.0214973050178159,-0.346443684639179,0,-1,-1
"MIA @ ATL","MIA","ATL","2025-10-26",-4.94591599330201,"Low",-0.116320917881539,0.0426028915368751,0.0434751964113237,0.0262505154996318,0,0,0
"NYJ @ CIN","NYJ","CIN","2025-10-26",-6.03547815042172,"Medium",-0.167987675953365,0.0682306104498604,0.0420860641101867,0.230503221181534,0,3,0
"MIN @ LAC","MIN","LAC","2025-10-23",-4.32846466499026,"Low",0.038176827145512,0.0242722560112697,0.0649893404289211,0.15706201897467,0,0,-1
"NYG @ PHI","NYG","PHI","2025-10-26",-0.281593431551194,"Very Low",-0.0258029304397861,0.0191225960869551,0.000471537638130709,0.0980529526062438,0,0,0
"DAL @ DEN","DAL","DEN","2025-10-26",-2.81944064934724,"Very Low",0.211340942537031,0.0425440450361345,0.0166949066666646,-0.0845097917972156,0,0,0
"GB @ PIT","GB","PIT","2025-10-26",-5.40105181434372,"Low",0.199744693213112,0.178147007496777,0.0950112986566821,0.0592672242038418,0,3,0
"TB @ NO","TB","NO","2025-10-26",-3.70604223631091,"Low",0.0449059846852996,-0.140744988161475,0.0744676974739722,-0.0658275119874757,0,1,0
"CHI @ BAL","CHI","BAL","2025-10-26",NA,"Very Low",0.039675479273373,NA,-0.218969976536746,NA,0,7,0
"BUF @ CAR","BUF","CAR","2025-10-26",NA,"Very Low",NA,0.111399687140094,NA,0.0225244561785455,0,-6,0
